RF	RerF(rho=.0127)	RerF(rho=.0253)	RerF(rho=1)	RR-RF
0.000000000000	0.000000000000	0.000000000000	0.000000000000	0.007000000000
0.039000000000	0.027000000000	0.025000000000	0.003000000000	0.014000000000
0.012000000000	0.003000000000	0.001000000000	0.004000000000	0.013000000000
0.033000000000	0.046000000000	0.043000000000	0.015000000000	0.035000000000
0.059000000000	0.022000000000	0.025000000000	0.040000000000	0.063000000000
0.004000000000	0.000000000000	0.000000000000	0.005000000000	0.004000000000
0.299000000000	0.385000000000	0.393000000000	0.238000000000	0.176000000000
0.112000000000	0.034000000000	0.037000000000	0.058000000000	0.084000000000
0.060000000000	0.047000000000	0.036000000000	0.047000000000	0.073000000000
0.010000000000	0.005000000000	0.003000000000	0.028000000000	0.044000000000
0.016000000000	0.016000000000	0.015000000000	0.014000000000	0.037000000000
0.004000000000	0.008000000000	0.009000000000	0.007000000000	0.018000000000
0.010000000000	0.009000000000	0.012000000000	0.022000000000	0.038000000000
0.017000000000	0.002000000000	0.007000000000	0.030000000000	0.060000000000
0.005000000000	0.003000000000	0.005000000000	0.016000000000	0.038000000000
0.409000000000	0.319000000000	0.306000000000	0.124000000000	0.103000000000
0.124000000000	0.076000000000	0.071000000000	0.042000000000	0.065000000000
0.031000000000	0.003000000000	0.009000000000	0.035000000000	0.032000000000
0.010000000000	0.009000000000	0.009000000000	0.007000000000	0.019000000000
0.063000000000	0.060000000000	0.035000000000	0.009000000000	0.018000000000
0.111000000000	0.184000000000	0.184000000000	0.082000000000	0.060000000000
0.024000000000	0.005000000000	0.003000000000	0.004000000000	0.018000000000
0.014000000000	0.001000000000	0.003000000000	0.004000000000	0.012000000000
0.005000000000	0.000000000000	0.001000000000	0.004000000000	0.009000000000
0.160000000000	0.232000000000	0.186000000000	0.141000000000	0.115000000000
0.045000000000	0.109000000000	0.093000000000	0.207000000000	0.148000000000
0.249000000000	0.154000000000	0.116000000000	0.104000000000	0.134000000000
0.072000000000	0.020000000000	0.018000000000	0.009000000000	0.033000000000
0.029000000000	0.010000000000	0.016000000000	0.022000000000	0.025000000000
0.013000000000	0.002000000000	0.005000000000	0.026000000000	0.051000000000
0.069000000000	0.044000000000	0.026000000000	0.048000000000	0.052000000000
0.038000000000	0.026000000000	0.036000000000	0.060000000000	0.094000000000
0.023000000000	0.010000000000	0.015000000000	0.037000000000	0.075000000000
0.040000000000	0.012000000000	0.013000000000	0.017000000000	0.023000000000
0.006000000000	0.005000000000	0.005000000000	0.026000000000	0.043000000000
0.000000000000	0.003000000000	0.000000000000	0.006000000000	0.019000000000
0.159000000000	0.077000000000	0.080000000000	0.103000000000	0.126000000000
0.013000000000	0.034000000000	0.025000000000	0.022000000000	0.042000000000
0.028000000000	0.003000000000	0.001000000000	0.016000000000	0.038000000000
0.008000000000	0.002000000000	0.001000000000	0.016000000000	0.021000000000
0.187000000000	0.249000000000	0.262000000000	0.256000000000	0.211000000000
0.029000000000	0.006000000000	0.006000000000	0.025000000000	0.041000000000
0.006000000000	0.001000000000	0.001000000000	0.001000000000	0.003000000000
0.026000000000	0.018000000000	0.010000000000	0.033000000000	0.069000000000
0.110000000000	0.062000000000	0.042000000000	0.014000000000	0.057000000000
0.083000000000	0.051000000000	0.048000000000	0.019000000000	0.038000000000
0.063000000000	0.059000000000	0.087000000000	0.109000000000	0.102000000000
0.000000000000	0.000000000000	0.002000000000	0.004000000000	0.012000000000
0.039000000000	0.006000000000	0.003000000000	0.015000000000	0.033000000000
0.003000000000	0.002000000000	0.001000000000	0.020000000000	0.020000000000
